22:26:42.919 [main] INFO  dorogokupets.arraytask.service.impl.ArraySortServiceImpl - Bubble sorting of the array is successful[6, 9, 11, 13, 22, 29, 44, 67]
22:26:42.922 [main] INFO  dorogokupets.arraytask.service.impl.ArraySortServiceImpl - Insert sorting of the array is successful[6, 9, 11, 13, 22, 29, 44, 67]
22:26:42.925 [main] INFO  dorogokupets.arraytask.service.impl.ArraySortServiceImpl - Select sorting of the array is successful[6, 9, 11, 13, 22, 29, 44, 67]
22:27:08.210 [main] INFO  dorogokupets.arraytask.service.impl.ArrayExecuteServiceImpl - Count positive numbers = 8
22:27:08.234 [main] INFO  dorogokupets.arraytask.service.impl.ArrayExecuteServiceImpl - Count negative numbers = 0
22:27:08.238 [main] INFO  dorogokupets.arraytask.service.impl.ArrayExecuteServiceImpl - Min value = 6
22:27:08.242 [main] INFO  dorogokupets.arraytask.service.impl.ArrayExecuteServiceImpl - Max value = 67
22:27:08.248 [main] INFO  dorogokupets.arraytask.service.impl.ArrayExecuteServiceImpl - Average of the array = 25.125
22:27:08.253 [main] INFO  dorogokupets.arraytask.service.impl.ArrayExecuteServiceImpl - Sum array numbers = 201
22:27:08.272 [main] INFO  dorogokupets.arraytask.service.impl.ArraySortServiceImpl - Bubble sorting of the array is successful[6, 9, 11, 13, 22, 29, 44, 67]
22:27:08.277 [main] INFO  dorogokupets.arraytask.service.impl.ArraySortServiceImpl - Insert sorting of the array is successful[6, 9, 11, 13, 22, 29, 44, 67]
22:27:08.281 [main] INFO  dorogokupets.arraytask.service.impl.ArraySortServiceImpl - Select sorting of the array is successful[6, 9, 11, 13, 22, 29, 44, 67]
23:16:10.136 [main] INFO  dorogokupets.arraytask.service.impl.ArrayExecuteServiceImpl - Count positive numbers = 8
23:16:10.167 [main] INFO  dorogokupets.arraytask.service.impl.ArrayExecuteServiceImpl - Count negative numbers = 0
23:16:10.170 [main] INFO  dorogokupets.arraytask.service.impl.ArrayExecuteServiceImpl - Min value = 6
23:16:10.174 [main] INFO  dorogokupets.arraytask.service.impl.ArrayExecuteServiceImpl - Max value = 67
23:16:10.179 [main] INFO  dorogokupets.arraytask.service.impl.ArrayExecuteServiceImpl - Average of the array = 25.125
23:16:10.189 [main] INFO  dorogokupets.arraytask.service.impl.ArrayExecuteServiceImpl - Sum array numbers = 201
23:16:10.212 [main] INFO  dorogokupets.arraytask.service.impl.ArraySortServiceImpl - Bubble sorting of the array is successful[6, 9, 11, 13, 22, 29, 44, 67]
23:16:10.218 [main] INFO  dorogokupets.arraytask.service.impl.ArraySortServiceImpl - Insert sorting of the array is successful[6, 9, 11, 13, 22, 29, 44, 67]
23:16:10.221 [main] INFO  dorogokupets.arraytask.service.impl.ArraySortServiceImpl - Select sorting of the array is successful[6, 9, 11, 13, 22, 29, 44, 67]
